Id_Makanan,Nama_Makanan,Kalori,Protein(g),Lemak(g),Sodium(mg),Alamat Web Nutrisi,Alamat Web Resep,Kering / Kuah,Manis / Asin,Pedas / Tidak,Vegetarian / Seafood / Daging ,Halal / Tidak
59,Stim Ikan Ala Chinese (1 Porsi),134,"23,49","2,47",1567,https://www.fatsecret.co.id/resep/51195276-stim-ikan-ala-chinese/Default.aspx,https://www.fatsecret.co.id/resep/51195276-stim-ikan-ala-chinese/Default.aspx,Kuah,Asin,Pedas,Seafood,Halal
60,Mapo Tofu (1 Porsi),261,"18,16","16,34",699,https://www.fatsecret.co.id/resep/50601681-mapo-tofu/Default.aspx,https://www.fatsecret.co.id/resep/50601681-mapo-tofu/Default.aspx,Kuah,Asin,Pedas,Vegetarian,Halal
61,Mie Shirataki Soto (1 Porsi),307,"15,3","12,68",759,https://www.fatsecret.co.id/resep/50464500-mie-shirataki-soto/Default.aspx,https://www.fatsecret.co.id/resep/50464500-mie-shirataki-soto/Default.aspx,Kuah,Asin,Pedas,Vegetarian,Halal
62,Dimsum Diet (1 Porsi),52,"3,67","1,53",300,https://www.fatsecret.co.id/resep/45713150-dimsum-diet/Default.aspx,https://www.fatsecret.co.id/resep/45713150-dimsum-diet/Default.aspx,Kering,Asin,Tidak,Seafood,Halal
63,Pancake Naga (1 Porsi),334,"17,07","9,35",72,https://www.fatsecret.co.id/resep/45568018-pancake-naga/Default.aspx,https://www.fatsecret.co.id/resep/45568018-pancake-naga/Default.aspx,Kering,Manis,Tidak,Vegetarian,Halal
64,Cauliflower Fried Rice (1 Porsi),184,"11,36","6,56",626,https://www.fatsecret.co.id/resep/45151365-cauliflower-nasi-goreng/Default.aspx,https://www.fatsecret.co.id/resep/45151365-cauliflower-nasi-goreng/Default.aspx,Kering,Asin,Pedas,Vegetarian,Halal
65,Chicken Tandoori (1 Porsi),218,"17,4","12,81",326,https://www.fatsecret.co.id/resep/44640432-chicken-tandoori/Default.aspx,https://www.fatsecret.co.id/resep/44640432-chicken-tandoori/Default.aspx,Kuah,Asin,Pedas,Daging,Halal
66,Makaroni Ayam (1 Porsi),147,"8,92","3,8",547,https://www.fatsecret.co.id/resep/makaroni-ayam/Default.aspx,https://www.fatsecret.co.id/resep/makaroni-ayam/Default.aspx,Kering,Manis,Pedas,Daging,Halal
67,Omelet Bayam (1 Porsi),179,8,"13,65",680,https://www.fatsecret.co.id/resep/omlate-bayam/Default.aspx,https://www.fatsecret.co.id/resep/omlate-bayam/Default.aspx,Kering,Asin,Tidak,Vegetarian,Halal
68,Klepon Ubi (1 Porsi),125,"1,01","0,04",38,https://www.fatsecret.co.id/resep/klepon-ubi/Default.aspx,https://www.fatsecret.co.id/resep/klepon-ubi/Default.aspx,Kering,Manis,Tidak,Vegetarian,Halal
69,Bola Ikan Udang Wortel (1 Porsi),30,"4,08","0,9",60,https://www.fatsecret.co.id/resep/59972989-bola-ikan-udang-wortel/Default.aspx,https://www.fatsecret.co.id/resep/59972989-bola-ikan-udang-wortel/Default.aspx,Kering,Asin,Pedas,Seafood,Halal
70,Tahu Lumpia (1 Porsi),43,"2,72","1,36",444,https://www.fatsecret.co.id/resep/57716590-tahu-lumpia/Default.aspx,https://www.fatsecret.co.id/resep/57716590-tahu-lumpia/Default.aspx,kering,Asin,Tidak,Vegetarian,Halal
71,Perkedel Tahu Bawang (1 Porsi),42,"2,4","3,44",11,https://www.fatsecret.co.id/resep/46995655-perdekel-tahu-bawang/Default.aspx,https://www.fatsecret.co.id/resep/46995655-perdekel-tahu-bawang/Default.aspx,Kering,Asin,Tidak,Vegetarian,Halal
72,Nasi Goreng Oatmeal (1 Porsi),336,"7,7","12,31",1656,https://www.fatsecret.co.id/resep/41153063-nasi-goreng-oatmeal/Default.aspx,https://www.fatsecret.co.id/resep/41153063-nasi-goreng-oatmeal/Default.aspx,Kering,Asin,Pedas,Vegetarian,Halal
73,Tahu Gejrot (1 Porsi),200,"7,2","8,87",678,https://www.fatsecret.co.id/resep/48779769-tahu-gejrot-cirebon/Default.aspx,https://www.fatsecret.co.id/resep/48779769-tahu-gejrot-cirebon/Default.aspx,Kuah,Asin,Pedas,Vegetarian,Halal
74,Cireng Jamur (1 Porsi),63,"1,16","2,26",325,https://www.fatsecret.co.id/resep/47702368-cireng-isi-jamur/Default.aspx,https://www.fatsecret.co.id/resep/47702368-cireng-isi-jamur/Default.aspx,Kering,Asin,Tidak,Vegetarian,Halal
